exo-mercat_name,name,host,letter,main_id,binary,ra_official,dec_official,mass,mass_max,mass_min,mass_url,msini,msini_max,msini_min,msini_url,bestmass,bestmass_max,bestmass_min,bestmass_url,bestmass_provenance,p,p_max,p_min,p_url,r,r_max,r_min,r_url,a,a_max,a_min,a_url,e,e_max,e_min,e_url,i,i_max,i_min,i_url,discovery_method,status,status_string,confirmed,discovery_year,final_alias,catalog,angular_separation,angular_separation_flag,binary_mismatch_flag,coordinate_mismatch,coordinate_mismatch_flag,duplicate_flag
LSPM J0106+1913  b,TOI-1468 b,TOI-1468,b,LSPM J0106+1913,,16.654166679,19.2249195,0.0101,0.00076,0.00076,2022A&A...666A.155C,,,,,0.0101,0.00076,0.00076,2022A&A...666A.155C,Mass,1.8805136,2.4e-06,2.6e-06,2022A&A...666A.155C,0.114,0.003,0.003,2022A&A...666A.155C,0.0208,0.0004,0.0004,eu,,,,,88.47,0.34,0.29,2022A&A...666A.155C,Transit,CONFIRMED,"eu: CONFIRMED,nasa: CONFIRMED,oec: CONFIRMED",3,2022.0,"Gaia DR3 2785466581298775680,PM J01066+1913,Karmn J01066+192,LSPM J0106+1913,TIC 243185500,USNO-B1.0 1092-00012991,Gaia DR2 2785466581298775680,2MASS J01063697+1913336,UCAC4 547-002110,TOI-1468","['eu', 'nasa', 'oec']",[0.0],0,0,,0,0
LSPM J0106+1913  c,TOI-1468 c,TOI-1468,c,LSPM J0106+1913,,16.6538724,19.225000011,0.02089,0.00211,0.00214,2022A&A...666A.155C,,,,,0.02089,0.00211,0.00214,2022A&A...666A.155C,Mass,15.532482,3.4e-05,3.3e-05,2022A&A...666A.155C,0.18414,0.00393,0.00393,eu,0.0849,0.0016,0.0016,eu,,,,,89.335,0.032,0.035,2022A&A...666A.155C,Transit,CONFIRMED,"nasa: CONFIRMED,eu: CONFIRMED,oec: CONFIRMED",3,2022.0,"Gaia DR3 2785466581298775680,PM J01066+1913,Karmn J01066+192,LSPM J0106+1913,TIC 243185500,USNO-B1.0 1092-00012991,Gaia DR2 2785466581298775680,2MASS J01063697+1913336,UCAC4 547-002110,TOI-1468","['eu', 'nasa', 'oec']",[0.0],0,0,,0,0
TOI-1478  b,TOI-1478 b,TOI-1478,b,TOI-1478,,126.43333333333331,-13.559722241,0.851,0.052,0.047,2021AJ....161..194R,,,,,0.851,0.052,0.047,2021AJ....161..194R,Mass,10.180249,1.5e-05,1.5e-05,2021AJ....161..194R,1.06,0.04,0.039,2021AJ....161..194R,0.0903,0.0018,0.0013,2021AJ....161..194R,0.025,0.033,0.018,eu,88.51,0.29,0.22,2021AJ....161..194R,Transit,CONFIRMED,"eu: CONFIRMED,oec: CONFIRMED,nasa: CONFIRMED",3,2021.0,"WISE J082544.10-133334.7,TIC 409794137,GSC 05440-01407,2MASS J08254410-1333356,TYC 5440-1407-1,Gaia DR3 5723638723350902400,UCAC4 383-049861,Gaia DR1 5723638723350902400,Gaia DR2 5723638723350902400,TOI-1478","['eu', 'nasa', 'oec']",[0.0],0,0,,0,0
TOI-150  b,TOI-150 b,TOI-150,b,TOI-150,,112.965421,-73.60612,2.51,0.12,0.12,2019MNRAS.490.1094K,,,,,2.51,0.12,0.12,2019MNRAS.490.1094K,Mass,5.857487,8.9e-05,9.7e-05,2019MNRAS.490.1094K,1.255,0.021,0.019,2019ApJ...877L..29C,0.07037,0.00087,0.00088,2019MNRAS.490.1094K,0.262,0.045,0.037,2019MNRAS.490.1094K,88.09,0.98,0.68,2019MNRAS.490.1094K,Transit,CONFIRMED,"nasa: CONFIRMED,eu: CONFIRMED,oec: CONFIRMED",3,2019.0,"TYC 9191-519-1,2MASS J07315176-7336220,TIC 271893367,TOI-150,Gaia DR2 5262709709389254528,Gaia DR3 5262709709389254528,AP J07315176-7336220,Gaia DR1 5262709705091843584","['eu', 'nasa', 'oec']",[0.0],0,0,,0,0
TYC 4480-382-1  b,TOI-1516 b,TOI-1516,b,TYC 4480-382-1,,340.08333334,69.503611124,3.16,0.12,0.12,2022arXiv220501860K,,,,,3.16,0.12,0.12,2022arXiv220501860K,Mass,2.056014,2e-06,2e-06,2022arXiv220501860K,1.36,0.03,0.03,2022arXiv220501860K,,,,,,,,,90.0,0.4,0.4,2022arXiv220501860K,Transit,CONFIRMED,"oec: CONFIRMED,nasa: CONFIRMED,eu: CONFIRMED",3,2022.0,"GSC 04480-00382,Gaia DR2 2226107083103120640,TOI-1516,TIC 376637093,TYC 4480-382-1,Gaia DR1 2226107078802419456,2MASS J22402026+6930134,Gaia DR3 2226107083103120640","['eu', 'nasa', 'oec']",[0.0],0,0,,0,0
BD+66  1610  b,TOI-1518 b,TOI-1518,b,BD+66  1610,,352.266666668,67.035,,,,,,,,,,,,,Mass,1.902603,1.1e-05,1.1e-05,2021AJ....162..218C,1.875,0.053,0.053,2021AJ....162..218C,0.039,0.0011,0.0011,eu,,,,,77.84,0.23,0.26,2021AJ....162..218C,Transit,CONFIRMED,"eu: CONFIRMED,oec: CONFIRMED,nasa: CONFIRMED",3,2021.0,"Gaia DR1 2210596440070408704,BD+66  1610,SAO  20657,TIC 427761355,2MASS J23290422+6702052,Gaia DR3 2210596444367488384,PPM  24491,GSC 04292-00873,TOI-1518,AG+66 1198,Gaia DR2 2210596444367488384,TYC 4292-873-1","['eu', 'nasa', 'oec']",[0.0],0,0,,0,0
TOI-157  b,TOI-157 b,TOI-157,b,TOI-157,,73.7014398,-76.68055558,1.18,0.13,0.12,2020A&A...639A..76N,,,,,1.18,0.13,0.12,2020A&A...639A..76N,Mass,2.0845435,2.3e-06,2.3e-06,2020A&A...639A..76N,1.286,0.023,0.02,2020A&A...639A..76N,0.0318,0.00025,0.00021,eu,,,,,82.01,0.15,0.16,2020A&A...639A..76N,Transit,CONFIRMED,"oec: CONFIRMED,nasa: CONFIRMED,eu: CONFIRMED",3,2020.0,"TIC 140691463,Gaia DR3 4624979393181971328,UCAC4 067-003552,TOI-157,AP J04544830-7640498,WISE J045448.30-764050.0,Gaia DR2 4624979393181971328,2MASS J04544830-7640498","['eu', 'nasa', 'oec']",[0.0],0,0,,0,0
Cl* NGC 1039      W       3  b,TOI-1601 b,TOI-1601,b,Cl* NGC 1039      W       3,,38.361569,41.013333333333335,0.99,0.11,0.11,2021AJ....161..194R,,,,,0.99,0.11,0.11,2021AJ....161..194R,Mass,5.331751,1.1e-05,1.1e-05,2021AJ....161..194R,1.239,0.046,0.039,2021AJ....161..194R,0.06864,0.00079,0.00075,2021AJ....161..194R,0.036,0.044,0.026,2021AJ....161..194R,88.84,0.81,1.1,2021AJ....161..194R,Transit,CONFIRMED,"oec: CONFIRMED,nasa: CONFIRMED,eu: CONFIRMED",3,2021.0,"TIC 139375960,2MASS J02332674+4100483,Gaia DR2 338382713564401920,TOI-1601,GSC 02836-00689,Cl* NGC 1039      W       3,TYC 2836-689-1,Gaia DR1 338382709267633152,Gaia DR3 338382713564401920","['eu', 'nasa', 'oec']",[0.0],0,0,,0,0
HD 271181  b,TOI-163 b,TOI-163,b,HD 271181,,79.7682532,-71.895555583,1.22,0.12,0.12,2019MNRAS.490.1094K,,,,,1.22,0.12,0.12,2019MNRAS.490.1094K,Mass,4.231306,6.3e-05,5.7e-05,2019MNRAS.490.1094K,1.489,0.034,0.034,2019MNRAS.490.1094K,0.058,0.0014,0.0014,2019MNRAS.490.1094K,,,,,87.24,0.47,0.45,2019MNRAS.490.1094K,Transit,CONFIRMED,"eu: CONFIRMED,oec: CONFIRMED,nasa: CONFIRMED",3,2019.0,"Gaia DR2 4651366259202463104,2MASS J05190435-7153441,HD 271181,Gaia DR3 4651366263526130816,Gaia DR1 4651366259202463104,DENIS J051904.3-715343,UCAC2   1255810,GSC 09170-00942,TOI-163,TYC 9170-942-1,SSTISAGEMC J051904.35-715344.1,TIC 179317684","['eu', 'nasa', 'oec']",[0.0],0,0,,0,0
PM J03455+3706  b,TOI-1634 b,TOI-1634,b,PM J03455+3706,,56.3906096,37.112222234,0.01545,0.00214,0.0022,2021AJ....162...79C,,,,,0.01545,0.00214,0.0022,2021AJ....162...79C,Mass,0.989343,1.5e-05,1.5e-05,2021AJ....162...79C,0.16,0.007,0.007,2021AJ....162...79C,0.01545,0.00014,0.00014,2021AJ....162...79C,,,,,88.2,1.1,1.1,2021AJ....162...79C,Transit,CONFIRMED,"nasa: CONFIRMED,oec: CONFIRMED,eu: CONFIRMED",3,2021.0,"WISE J034533.68+370644.1,TOI-1634,Gaia DR2 223158499179138432,UCAC4 636-014493,2MASS J03453363+3706438,TIC 201186294,PM J03455+3706,Gaia DR3 223158499179138432","['eu', 'nasa', 'oec']",[0.0],0,0,,0,0
BD+82    71  b,TOI-1669 b,TOI-1669,b,BD+82    71,,45.95833333333332,83.58749999999999,0.573,0.074,0.074,oec,0.573,0.074,0.074,2023AJ....165...60V,0.573,0.074,0.074,oec,Mass,2.68005,3e-05,3e-05,eu,0.214,0.0161,0.0161,eu,,,,,0.14,0.13,0.13,2023AJ....165...60V,,,,,NA,CONFIRMED,"eu: CONFIRMED,nasa: CONFIRMED,oec: CONFIRMED",3,2022.0,"SAO    475,AG+83   61,Gaia DR3 569673024645542528,PPM    518,TOI-1669,TYC 4616-1481-1,GSC 04616-01481,2MASS J03034874+8335152,TIC 428679607,Gaia DR2 569673024645542528,BD+82    71,Gaia DR1 569673020348803584","['eu', 'nasa', 'oec']",[0.0],0,0,,0,0
BD+82    71  c,TOI-1669 c,TOI-1669,c,BD+82    71,,45.954166683,83.587777793,,,,,0.602,0.078,0.078,eu,0.602,0.078,0.078,eu,Msini,501.0,16.0,16.0,eu,,,,,,,,,,,,,,,,,Radial Velocity,CONFIRMED,eu: CONFIRMED,1,2022.0,"SAO    475,AG+83   61,Gaia DR3 569673024645542528,PPM    518,TOI-1669,TYC 4616-1481-1,GSC 04616-01481,2MASS J03034874+8335152,TIC 428679607,Gaia DR2 569673024645542528,BD+82    71,Gaia DR1 569673020348803584",['eu'],[0.0],0,0,,0,0
TYC 4424-943-1  b,TOI-1670 b,TOI-1670,b,TYC 4424-943-1,,259.0172522,72.161111123,0.0434,0.0299,0.0274,eu,,,,,0.0434,0.0299,0.0274,eu,Mass,10.98462,0.00046,0.00051,2022arXiv220304334T,0.184,0.017,0.013,2022arXiv220304334T,0.103,0.002,0.002,2022arXiv220304334T,0.59,0.17,0.26,2022arXiv220304334T,86.87,1.16,1.07,2022arXiv220304334T,Transit,CONFIRMED,"eu: CONFIRMED,nasa: CONFIRMED,oec: CONFIRMED",3,2022.0,"TIC 441739020,TYC 4424-943-1,Gaia DR3 1651911084230149248,GSC 04424-00943,Gaia DR2 1651911084230149248,TOI-1670,GPM 259.017372+72.161145,2MASS J17160415+7209402,Gaia DR1 1651911079934320384","['eu', 'nasa', 'oec']",[0.0],0,0,,0,0
TYC 4424-943-1  c,TOI-1670 c,TOI-1670,c,TYC 4424-943-1,,259.016666668,72.16111111111111,0.63,0.09,0.08,2022arXiv220304334T,,,,,0.63,0.09,0.08,2022arXiv220304334T,Mass,40.74976,2.2e-05,0.00021,2022arXiv220304334T,0.987,0.025,0.025,2022arXiv220304334T,0.249,0.005,0.005,2022arXiv220304334T,0.09,0.05,0.04,2022arXiv220304334T,88.84,0.04,0.04,2022arXiv220304334T,Transit,CONFIRMED,"oec: CONFIRMED,eu: CONFIRMED,nasa: CONFIRMED",3,2022.0,"TIC 441739020,TYC 4424-943-1,Gaia DR3 1651911084230149248,GSC 04424-00943,Gaia DR2 1651911084230149248,TOI-1670,GPM 259.017372+72.161145,2MASS J17160415+7209402,Gaia DR1 1651911079934320384","['eu', 'nasa', 'oec']",[0.0],0,0,,0,0
HD 283636  b,TOI-1683 b,TOI-1683,b,HD 283636,,65.979166685,27.822500021,0.025,0.006,0.006,oec,,,,,0.025,0.006,0.006,oec,Mass,1.05752578,6e-06,6e-06,oec,0.205,0.027,0.027,eu,,,,,,,,,85.99,0.029,0.029,eu,Transit,CONFIRMED,"oec: CONFIRMED,eu: CONFIRMED",2,2022.0,"2MASS J04235514+2749213,AC +28  8626,TIC 58542531,HD 283636,TYC 1824-1127-1,GEN# +1.00283636,HIC  20528,PPM  93488,Gaia DR2 152451414656258560,AG+27  435,HIP  20528,TOI-1683,Gaia DR1 152451410363051776,MCC 442,CSI+27-04208,Gaia DR3 152451414656258560","['eu', 'oec']",[0.0],0,0,,0,0
PM J04343+4302  b,TOI-1685 b,TOI-1685,b,PM J04343+4302,,68.595833341,43.036944444444444,0.01189,0.00198,0.00198,2021A&A...650A..78B,,,,,0.01189,0.00198,0.00198,2021A&A...650A..78B,Mass,0.6691403,2e-06,2e-06,oec,0.152,0.006,0.006,2021A&A...650A..78B,0.011557,9.2e-05,9.2e-05,2021AJ....162..161H,,,,,84.74,0.6,0.54,2021A&A...650A..78B,Transit,CONFIRMED,"eu: CONFIRMED,oec: CONFIRMED,nasa: CONFIRMED",3,2021.0,"PM J04343+4302,Gaia DR2 252366608956186240,AP J04342248+4302148,TOI-1685,TIC 28900646,Karmn J04343+430,Gaia DR3 252366608956186240,2MASS J04342248+4302148,UCAC4 666-026266,WISE J043422.52+430213.8","['eu', 'nasa', 'oec']",[0.0],0,0,,0,0
PM J04343+4302  c,TOI-1685 c,TOI-1685,c,PM J04343+4302,,68.595833341,43.036944448,,,,,0.02898,0.006,0.006,eu,0.02898,0.006,0.006,eu,Msini,9.025,0.1,0.12,eu,,,,,,,,,,,,,,,,,Radial Velocity,CONFIRMED,eu: CONFIRMED,1,2021.0,"PM J04343+4302,Gaia DR2 252366608956186240,AP J04342248+4302148,TOI-1685,TIC 28900646,Karmn J04343+430,Gaia DR3 252366608956186240,2MASS J04342248+4302148,UCAC4 666-026266,WISE J043422.52+430213.8",['eu'],[0.0],0,0,,0,0
TOI-169  b,TOI-169 b,TOI-169,b,TOI-169,,16.779166666666665,-75.198888905,0.791,0.064,0.06,2020A&A...639A..76N,,,,,0.791,0.064,0.06,2020A&A...639A..76N,Mass,2.2554477,6.3e-06,6.3e-06,2020A&A...639A..76N,1.086,0.081,0.048,2020A&A...639A..76N,0.03524,0.00069,0.00079,2020A&A...639A..76N,,,,,80.98,0.31,0.38,2020A&A...639A..76N,Transit,CONFIRMED,"oec: CONFIRMED,nasa: CONFIRMED,eu: CONFIRMED",3,2020.0,"TIC 183120439,UCAC4 075-001046,2MASS J01070679-7511559,Gaia DR3 4684513614202233728,WISE J010706.81-751156.1,TOI-169,Gaia DR2 4684513614202233728","['eu', 'nasa', 'oec']",[0.0],0,0,,0,0
LP  141-14  b,TOI-1690 b,WD 1856+534,b,LP  141-14,,284.415675,53.5090244,,,,,,,,,,,,,Mass,1.4079405,1.1e-06,1.1e-06,2020Natur.585..363V,0.928,0.089,0.089,2020Natur.585..363V,0.0204,0.0012,0.0012,2020Natur.585..363V,,,,,88.778,0.059,0.059,2020Natur.585..363V,Transit,CONFIRMED,"eu: CONFIRMED,oec: CONFIRMED,nasa: CONFIRMED,eu: CONFIRMED",3,2020.0,"LSPM J1857+5330,NLTT 47263,PSO J284.4153+53.5090,LP  141-14,** LDS 4802C,PM J18576+5330,WDS J18576+5331C,TIC 267574918,TOI 1690.01,WD 1856+534,USNO-B1.0 1435-00280850,2MASS J18573936+5330332,Gaia DR2 2146576589564898688,LP 141-14,Gaia DR3 2146576589564898688,TOI-1690","['eu', 'nasa', 'oec']",[0.0],0,0,,0,1
TOI-1693  b,TOI-1693 b,TOI-1693,b,TOI-1693,,90.30833333333332,34.77305555555555,0.0088,0.0069,0.003,oec,,,,,0.0088,0.0069,0.003,oec,Mass,1.7666957,5e-06,5e-06,oec,0.126,0.009,0.009,2022AJ....163...99G,0.0226,0.0004,0.0004,2022AJ....163...99G,,,,,,,,,Transit,CONFIRMED,"oec: CONFIRMED,eu: CONFIRMED,nasa: CONFIRMED",3,2022.0,"TOI-1693,Gaia DR3 3451908921382409472,Gaia DR2 3451908921382409472,2MASS J06011402+3446233,TIC 353475866,UCAC4 624-028779","['eu', 'nasa', 'oec']",[0.0],0,0,,0,0
TYC 4108-1434-1  b,TOI-1694 b,TOI-1694,b,TYC 4108-1434-1,,97.7487104,66.3605956,0.08212,0.00692,0.00692,2023AJ....165...60V,,,,,0.08212,0.00692,0.00692,2023AJ....165...60V,Mass,3.77018,6e-05,6e-05,eu,0.485,0.016,0.016,2023AJ....165...60V,,,,,,,,,88.17,1.2,1.2,eu,Transit,CONFIRMED,"nasa: CONFIRMED,oec: CONFIRMED,eu: CONFIRMED",3,2022.0,"Gaia DR1 1104269592546946944,TIC 396740648,2MASS J06305955+6621384,Gaia DR2 1104269596843209472,TOI-1694,TYC 4108-1434-1,Gaia DR3 1104269596843209472,GSC 04108-01434","['eu', 'nasa', 'oec']",[0.0],0,0,,0,0
TYC 4108-1434-1  c,TOI-1694 c,TOI-1694,c,TYC 4108-1434-1,,97.75,66.360555571,1.05,0.05,0.05,oec,0.929,0.037,0.037,eu,0.929,0.037,0.037,eu,Msini,389.2,3.9,3.9,2023AJ....165...60V,,,,,,,,,0.18,0.048,0.048,2023AJ....165...60V,,,,,Radial Velocity,CONFIRMED,"eu: CONFIRMED,oec: CONFIRMED,nasa: CONFIRMED",3,2022.0,"Gaia DR1 1104269592546946944,TIC 396740648,2MASS J06305955+6621384,Gaia DR2 1104269596843209472,TOI-1694,TYC 4108-1434-1,Gaia DR3 1104269596843209472,GSC 04108-01434","['eu', 'nasa', 'oec']",[0.0],0,0,,0,0
PM J01276+7217  b,TOI-1695 b,TOI-1695,b,PM J01276+7217,,21.920833347,72.2966148,0.0182,0.0016,0.0016,eu,,,,,0.0182,0.0016,0.0016,eu,Mass,3.1342791,7.1e-06,6.3e-06,2022arXiv221106445C,0.17,0.014,0.012,2022arXiv221106205K,0.033548,0.00026,0.000268,2022arXiv221106445C,,,,,87.2,1.3,0.5,2022arXiv221106445C,Transit,CONFIRMED,"nasa: CONFIRMED,eu: CONFIRMED,oec: CONFIRMED",3,2022.0,"Gaia DR2 534988616816537728,PM J01276+7217,UCAC4 812-004963,TOI-1695,TIC 422756130,2MASS J01274094+7217472,Gaia DR3 534988616816537728","['eu', 'nasa', 'oec']",[0.0],0,0,,0,0
TOI-1696  b,TOI-1696 b,TOI-1696,b,TOI-1696,,65.279166669,48.8198312,,,,,,,,,,,,,Mass,2.500311,4e-06,4e-06,2022AJ....163..298M,0.2757,0.0098,0.0098,oec,0.0229,0.0002,0.0002,2022AJ....163..298M,,,,,88.461,0.004,0.004,2022arXiv220409063B,Transit,CONFIRMED,"nasa: CONFIRMED,eu: CONFIRMED,oec: CONFIRMED",3,2022.0,"TOI-1696,Gaia DR3 270260649602149760,WISE J042107.34+484911.5,TIC 470381900,2MASS J04210733+4849116,UCAC4 695-028795,Gaia DR2 270260649602149760","['eu', 'nasa', 'oec']",[0.0],0,0,,0,0
BD+76   227  b,TOI-1710 b,TOI-1710,b,BD+76   227,,94.2838373,76.21083333333334,0.08904,0.01479,0.01479,2022arXiv220408984K,,,,,0.08904,0.01479,0.01479,2022arXiv220408984K,Mass,24.283429,4.3e-05,4.3e-05,2022arXiv220408984K,0.4764,0.0098,0.0098,eu,0.16,0.04,0.04,2022arXiv220408984K,0.16,0.08,0.08,2022arXiv220408984K,89.6,0.3,0.3,2022arXiv220408984K,Transit,CONFIRMED,"eu: CONFIRMED,nasa: CONFIRMED,oec: CONFIRMED",3,2022.0,"Gaia DR3 1116613161053977472,TIC 445805961,2MASS J06170789+7612387,BD+76   227,TYC 4525-1009-1,Gaia DR2 1116613161053977472,AG+76  266,PPM   6248,Gaia DR1 1116613156757308928,TOI-1710,SAO   5791,GSC 04525-01009","['eu', 'nasa', 'oec']",[0.0],0,0,,0,0
CD-27 15244  b,TOI-172 b,TOI-172,b,CD-27 15244,,316.633333344,-26.6928654,5.41,0.2,0.2,eu,,,,,5.41,0.2,0.2,eu,Mass,9.47725,0.00064,0.00079,2019AJ....157..191R,0.965,0.032,0.029,2019AJ....157..191R,0.0914,0.0017,0.0017,2019AJ....157..191R,0.3805,0.0092,0.0092,eu,88.3,1.0,1.0,eu,Transit,CONFIRMED,"eu: CONFIRMED,oec: CONFIRMED,nasa: CONFIRMED",3,2019.0,"Gaia DR3 6801474136516893184,TOI-172,TIC 29857954,Gaia DR2 6801474136516893184,2MASS J21063165-2641333,CD-27 15244,TYC 6932-301-1","['eu', 'nasa', 'oec']",[0.0],0,0,,0,0
PM J08024+6447  b,TOI-1728 b,TOI-1728,b,PM J08024+6447,,120.61249999999998,64.79694444444445,0.08426,0.01708,0.01614,2020ApJ...899...29K,,,,,0.08426,0.01708,0.01614,2020ApJ...899...29K,Mass,3.49151,6.2e-05,5.7e-05,2020ApJ...899...29K,0.451,0.014,0.015,2020ApJ...899...29K,0.0391,0.0009,0.0009,2020ApJ...899...29K,0.057,0.054,0.039,2020ApJ...899...29K,88.31,0.58,0.4,2020ApJ...899...29K,Transit,CONFIRMED,"oec: CONFIRMED,nasa: CONFIRMED,eu: CONFIRMED",3,2020.0,"TOI-1728,PM J08024+6447,WISEA J080226.72+644749.5,WISE J080226.72+644749.5,TIC 285048486,UCAC4 774-029023,2MASS J08022653+6447489,Gaia DR3 1094545653447816064,Gaia DR2 1094545653447816064","['eu', 'nasa', 'oec']",[0.0],0,0,,0,0
TOI-1749  b,TOI-1749 b,TOI-1749,b,TOI-1749,,282.737500019,64.41944444444445,0.06,0.069,0.041,eu,,,,,0.06,0.069,0.041,eu,Mass,2.38839,0.00031,0.00066,2021AJ....162..167F,0.124,0.018,0.018,eu,0.0291,0.0005,0.0005,2021AJ....162..167F,0.02,0.06,0.02,eu,86.4,0.9,0.6,2021AJ....162..167F,Transit,CONFIRMED,"oec: CONFIRMED,nasa: CONFIRMED,eu: CONFIRMED",3,2021.0,"2MASS J18505707+6425090,Gaia DR2 2253774094189458432,TOI-1749,WISE J185056.97+642509.8,TIC 233602827,Gaia DR3 2253774094189458432,UCAC4 773-042652","['eu', 'nasa', 'oec']",[0.0],0,0,,0,0
TOI-1749  c,TOI-1749 c,TOI-1749,c,TOI-1749,,282.737500019,64.41944444444445,0.0066,0.0179,0.005,eu,,,,,0.0066,0.0179,0.005,eu,Mass,4.4929,0.0038,0.0027,2021AJ....162..167F,0.1891,0.0107,0.0107,eu,0.0443,0.0008,0.0008,2021AJ....162..167F,0.007,0.007,0.005,eu,88.8,1.0,0.3,2021AJ....162..167F,Transit,CONFIRMED,"oec: CONFIRMED,nasa: CONFIRMED,eu: CONFIRMED",3,2021.0,"2MASS J18505707+6425090,Gaia DR2 2253774094189458432,TOI-1749,WISE J185056.97+642509.8,TIC 233602827,Gaia DR3 2253774094189458432,UCAC4 773-042652","['eu', 'nasa', 'oec']",[0.0],0,0,,0,0
TOI-1749  d,TOI-1749 d,TOI-1749,d,TOI-1749,,282.73749999999995,64.419466,0.0135,0.0195,0.011,eu,,,,,0.0135,0.0195,0.011,eu,Mass,9.0497,0.0049,0.0032,2021AJ....162..167F,0.225,0.013,0.013,2021AJ....162..167F,0.0707,0.0012,0.0012,2021AJ....162..167F,0.015,0.017,0.011,eu,88.53,0.11,0.09,2021AJ....162..167F,Transit,CONFIRMED,"nasa: CONFIRMED,eu: CONFIRMED,oec: CONFIRMED",3,2021.0,"2MASS J18505707+6425090,Gaia DR2 2253774094189458432,TOI-1749,WISE J185056.97+642509.8,TIC 233602827,Gaia DR3 2253774094189458432,UCAC4 773-042652","['eu', 'nasa', 'oec']",[0.0],0,0,,0,0
LSPM J2147+6245  b,TOI-1759 b,TOI-1759,b,LSPM J2147+6245,,326.85,62.75388888888889,0.03398,0.00472,0.00472,2022AJ....163..133E,,,,,0.03398,0.00472,0.00472,2022AJ....163..133E,Mass,18.849975,6e-06,6e-06,eu,0.28,0.009,0.009,2022arXiv220201259M,0.1176,0.0013,0.0013,eu,,,,,89.72,0.13,0.13,2022AJ....163..133E,Transit,CONFIRMED,"nasa: CONFIRMED,oec: CONFIRMED,eu: CONFIRMED",3,2022.0,"TIC 408636441,2MASS J21472477+6245139,UCAC4 764-062655,TYC 4266-736-1,WISEA J214724.51+624513.8,Gaia DR3 2216420110788943744,Gaia DR1 2216420106486098048,Gaia DR2 2216420110788943744,LSPM J2147+6245,PM J21474+6245,USNO-B1.0 1527-00385048,TOI-1759,ASCC  146309","['eu', 'nasa', 'oec']",[0.0],0,0,,0,0
WT 2353  b,TOI-178 b,TOI-178,b,WT 2353,,7.301262499999999,-30.453611123,0.00472,0.00123,0.00138,2021A&A...649A..26L,,,,,0.00472,0.00123,0.00138,2021A&A...649A..26L,Mass,1.914558,1.8e-05,1.8e-05,2021A&A...649A..26L,0.10278,0.006629,0.006629,eu,0.02607,0.00078,0.00078,2021A&A...649A..26L,,,,,88.8,0.8,1.3,2021A&A...649A..26L,Transit,CONFIRMED,"eu: CONFIRMED,nasa: CONFIRMED,oec: CONFIRMED",3,2020.0,"TIC 251848941,Gaia DR2 2318295979126499200,TYC 6991-475-1,WT 2353,2MASS J00291228-3027133,Gaia DR1 2318295974831251200,Gaia DR3 2318295979126499200,RAVE J002912.3-302713,TOI-178","['eu', 'nasa', 'oec']",[0.0],0,0,,0,0
WT 2353  c,TOI-178 c,TOI-178,c,WT 2353,,7.301262499999999,-30.453611123,0.01501,0.00173,0.00214,2021A&A...649A..26L,,,,,0.01501,0.00173,0.00214,2021A&A...649A..26L,Mass,3.23845,2e-05,1.9e-05,2021A&A...649A..26L,0.149,0.01,0.009,2021A&A...649A..26L,0.037,0.0011,0.0011,2021A&A...649A..26L,,,,,88.4,1.1,1.6,2021A&A...649A..26L,Transit,CONFIRMED,"eu: CONFIRMED,nasa: CONFIRMED,oec: CONFIRMED",3,2018.0,"TIC 251848941,Gaia DR2 2318295979126499200,TYC 6991-475-1,WT 2353,2MASS J00291228-3027133,Gaia DR1 2318295974831251200,Gaia DR3 2318295979126499200,RAVE J002912.3-302713,TOI-178","['eu', 'nasa', 'oec']",[0.0],0,0,,0,0
WT 2353  d,TOI-178 d,TOI-178,d,WT 2353,,7.3020115,-30.453611123,0.00947,0.00227,0.00289,eu,,,,,0.00947,0.00227,0.00289,eu,Mass,6.5577,1.6e-05,1.6e-05,2021A&A...649A..26L,0.22946,0.00669,0.00696,eu,0.0592,0.0018,0.0018,2021A&A...649A..26L,,,,,88.58,0.2,0.18,2021A&A...649A..26L,Transit,CONFIRMED,"oec: CONFIRMED,eu: CONFIRMED,nasa: CONFIRMED",3,2018.0,"TIC 251848941,Gaia DR2 2318295979126499200,TYC 6991-475-1,WT 2353,2MASS J00291228-3027133,Gaia DR1 2318295974831251200,Gaia DR3 2318295979126499200,RAVE J002912.3-302713,TOI-178","['eu', 'nasa', 'oec']",[0.0],0,0,,0,0
WT 2353  e,TOI-178 e,TOI-178,e,WT 2353,,7.301262499999999,-30.453611123,0.01214,0.00337,0.00299,eu,,,,,0.01214,0.00337,0.00299,eu,Mass,9.961881,4.2e-05,4.2e-05,2021A&A...649A..26L,0.197,0.008,0.008,2021A&A...649A..26L,0.0783,0.0023,0.0024,2021A&A...649A..26L,,,,,88.71,0.16,0.13,2021A&A...649A..26L,Transit,CONFIRMED,"nasa: CONFIRMED,eu: CONFIRMED,oec: CONFIRMED",3,2020.0,"TIC 251848941,Gaia DR2 2318295979126499200,TYC 6991-475-1,WT 2353,2MASS J00291228-3027133,Gaia DR1 2318295974831251200,Gaia DR3 2318295979126499200,RAVE J002912.3-302713,TOI-178","['eu', 'nasa', 'oec']",[0.0],0,0,,0,0
